id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
103,Middle Ages,13673-1438,Book of Margery Kempe,http://english.selu.edu/humanitiesonline/kempe/index.php,no,yes,yes,ENM,Manuscript,not provided,present,Joel W. Fredell,British Library; Southeastern Louisiana University,not provided,partly,yes,yes,partly,no,yes,yes,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,no,yes,no,Keyed,yes,not provided,no,British Library,"King's Lynn, United Kingdom",not provided,not provided,HTML; CSS; Showcase; PROTOtypeR; Andron Scriptor Web,no,no,no,not provided,21.11115/0000-000B-D0E6-6,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,,,Margery Kempe,Medieval Mysticism,"A digital facsimile and transcription of the unique manuscript of The Book of Margery Kempe, the earliest autobiography in English.",Hagiography # Biography # Mysticism # Manuscript # Gender,12.0,85.0
104,Middle Ages,1332-1347,William of Ockham: Dialogus,http://www.britac.ac.uk/pubs/dialogus/ockdial.html,yes,yes,no,LAT,Manuscript,1995,present,John Kilcullen,British Academy,General public,yes,not provided,not provided,no,no,no,no,no,no,ENG,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,Germany,British Academy,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E7-5,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1332,1347,William of Ockham,Medieval Political Philosophy,"An edition of Ockham's Dialogus, a major treatise on heresy, papal power, and the rights of subjects vs. rulers.",Philosophy # Politics # Theology # Law # Logic,10.0,85.0
105,Middle Ages,11th,Domesday Explorer,http://www.domesdaybook.net,no,no,no,LAT,Manuscript,1980,2010,John Palmer,University of Hull,Scholars; students; general public,yes,not provided,not provided,no,not provided,yes,yes,no,no,not provided,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,not provided,not provided,no,Keyed,no,yes,not provided,The National Archives,"Royal Treasury, Winchester Castle, UK",AHRC,not provided,CDROM,yes,no,yes,not provided,21.11115/0000-000B-D0E8-4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1001,1100,Not specified (Scribes),Medieval Administrative Records,"A digital database of the Domesday Book, the great survey of England commissioned by William the Conqueror in 1086.",Administration # Economics # History # Geography # Law,15.0,8.0
106,Long Nineteenth Century,19th,Chopin's First Editions Online,http://www.cfeo.org.uk/index.html,yes,yes,yes,ENG; FRE; GER; POL,Manuscript,2004,2007,John Rink,King's College London (Department of Digital Humanities); Royal Holloway; British Library; Bodleian Library; Bibliothèque Nationale de France; New York Public Library; Narodowy Instytut Fryderyka Chopina; University of Chicago Library; Österreichische Nationalbibliothek,not provided,partly,not provided,not provided,no,no,yes,yes,no,no,not provided,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,yes,not provided,not provided,Bibliothèque Nationale de France; Bodleian Library; British Library; Narodowy Instytut Fryderyka Chopina; University of Chicago Library; 17 other small libraries,Various,AHRC,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0E9-3,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1801,1900,Frédéric Chopin,Romantic Music,"A digital resource uniting all the diverse first impressions of Chopin's music from his original French, German, and English publishers.",Music # Art # Publishing # Criticism # Philology,38.0,18.0
107,Long Nineteenth Century,1787-1817,Jane Austen's Fiction Manuscripts,http://www.janeausten.ac.uk/index.html,yes,yes,yes,ENG,Manuscript,not provided,not provided,Kathryn Sutherland,King's College London (Department of Digital Humanities); University of Oxford,Scholars,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,yes,Bodleian Library; British Library; The Morgan Library and Museum; King's College Cambridge; private ownership,England; United States,AHRC,not provided,Kiln (former xMod),yes,http://ride.i-d-e.de/issues/issue-5/jane-austens-fiction-manuscripts/,yes,not provided,21.11115/0000-000B-D0EA-2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1787,1817,Jane Austen,Regency Literature,"A digital reunification of all surviving fiction manuscripts of Jane Austen, allowing study of her drafting and editing process.",Novel # Manuscript # Philology # Criticism # Art,35.0,85.0
108,Long Nineteenth Century,1855-1892,The Walt Whitman Archive,http://www.whitmanarchive.org/,yes,yes,yes,ENG,Manuscript,1995,present,Kenneth M. Price,University of Nebraska,not provided,yes,not provided,not provided,yes,yes,yes,yes,no,no,not provided,ENG,no,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0EB-1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1855,1892,Walt Whitman,19th Century American Poetry,"An exhaustive archive of Whitman's work, including all editions of Leaves of Grass, manuscripts, notebooks, and correspondence.",Poetry # Manuscript # Correspondence # Biography # Criticism,66.0,85.0
109,Long Nineteenth Century; Modern,1868-1935,Schenker Documents Online,http://www.schenkerdocumentsonline.org,yes,yes,yes,GER,Manuscript,2010,2013,Marilyn Deegan,King's College London (Department of Digital Humanities); Universität für Musik und darstellende Kunst; University of Southampton,Scholars; librarians; archivists; general public,yes,not provided,not provided,yes,no,no,no,no,no,ENG,ENG,no,yes,yes,no,no,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,Various,not provided,not provided,xMod (KCL custom),yes,no,yes,not provided,21.11115/0000-000B-D0EC-0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1868,1935,Heinrich Schenker,Music Theory,"An edition of the personal papers, diaries, and lesson books of the influential music theorist Heinrich Schenker.",Music # Theory # Diary # Education # Biography,20.0,15.0
110,Long Nineteenth Century,1810-1849,Online Chopin Variorum Edition,http://www.ocve.org.uk/index.html,yes,yes,yes,ENG; FRE; GER; POL,Manuscript,2005,2014,Marilyn Deegan; John Rink,King's College London (Department of Digital Humanities),Scholars; general public,yes,not provided,not provided,partly,no,yes,yes,no,no,not provided,ENG,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,not provided,yes,not provided,not provided,Various,Various,not provided,not provided,xMod (KCL custom),no,no,yes,not provided,21.11115/0000-000B-D0ED-F,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1810,1849,Frédéric Chopin,Romantic Music,A tool for comparing the various early printed sources of Chopin's music to analyze textual discrepancies and evolutionary changes.,Music # Criticism # Philology # Publishing # Art,40.0,60.0
111,Early Modern,1563; 1570; 1576; 1583,John Foxe's The Acts and Monuments Online,http://www.johnfoxe.org/,yes,yes,yes,GRC; LAT; ENM,Manuscript,1996,2011,Mark Greengrass,University of Sheffield; University of Ohio; British Academy,not provided,partly,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,yes,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,England,AHRC; British Academy,not provided,Microsoft Access; JavaScript,no,no,no,not provided,21.11115/0000-000B-D0EE-E,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1563,1583,John Foxe,Early Modern History,"A digital edition of the four massive unabridged editions of Foxe's ""Book of Martyrs"" published during his lifetime.",History # Religion # Hagiography # Politics # Printing,38.0,38.0
112,Middle Ages,1304-1374,Oregon Petrarch Open Book Project,http://petrarch.uoregon.edu/,yes,yes,yes,ITA,Manuscript,2003,present,Massimo Lollini,University of Oregon,Scholars; students; teachers; translators,yes,yes,yes,yes,no,yes,no,no,no,FRE; SPA,ENG,not provided,not provided,yes,no,no,partly,no,no,no,yes,yes,yes,Keyed,yes,not provided,yes,not provided,Italy,not provided,not provided,Drupal,yes,no,no,not provided,21.11115/0000-000B-D0EF-D,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1304,1374,Francesco Petrarca,Renaissance Humanism,"A hypertext edition of Petrarch's Canzoniere (Rerum vulgarium fragmenta), exploring the structure and imagery of his sonnet sequence.",Poetry # Philosophy # Philology # Manuscript # Art,25.0,10.0
113,Middle Ages,1486,Conclusiones CM,http://www.stg.brown.edu/projects/pico/about.php,yes,yes,no,LAT,Manuscript,2002,not provided,Massimo Riva,Brown University,Scholars,yes,not provided,not provided,partly,no,no,no,no,no,SPA,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,British Library,Italy,Computing and Information Services at Brown University,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F0-A,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1486,1486,Giovanni Pico della Mirandola,Renaissance Philosophy,"A digital text of the 900 Theses proposing a universal syncretism of philosophy and religion, for which Pico was accused of heresy.",Philosophy # Theology # Religion # Logic # Rhetoric,8.0,7.0
114,Middle Ages,1349-1353,Decameron Web,http://www.brown.edu/Departments/Italian_Studies/dweb/index.php,no,yes,no,ITA,Printed book,not provided,2015,Massimo Riva,Brown University,College and high school teachers and students; independent readers and scholars,no,not provided,not provided,yes,no,no,no,no,no,ENG,ENG,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,not provided,no,not provided,not provided,not provided,Italy,National Endowment for the Humanties,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0F1-9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1349,1353,Giovanni Boccaccio,Medieval Italian Prose,"A comprehensive project dedicated to the Decameron, featuring the text, translations, historical context, and critical essays.",Novel # History # Sociology # Criticism # Art,7.0,20.0
115,Middle Ages,1487-1496,Pico della Mirandola: De hominis dignitate,http://www.brown.edu/Departments/Italian_Studies/pico/index.html,yes,yes,yes,LAT,Manuscript,not provided,not provided,Massimo Riva,Brown University,not provided,yes,not provided,not provided,no,no,yes,no,no,no,not provided,ITA; ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,John Hay Library; Università degli Studi di Bologna; Biblioteca Comunale dell'Archiginnasio di Bologna,Italy; United States,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0F2-8,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1487,1496,Giovanni Pico della Mirandola,Renaissance Philosophy,"An edition of the Oration on the Dignity of Man, the famous ""manifesto of the Renaissance"" defending human free will and potential.",Philosophy # Rhetoric # Theology # Humanism # Ethics,8.0,88.0
116,Antiquity,500 BC-640 AD,Inscriptions of Israel/Palestine,http://www.stg.brown.edu/projects/Inscriptions/index.shtml,yes,yes,yes,HEB; ARC; GRC; LAT,Tablet; Prism; Cylinder; Rock face; Stele; Wall; Threshold slab,1996,not provided,Michael Satlow; Elli Mylonas,Brown University,not provided,yes,not provided,yes,yes,yes,no,no,no,no,ENG,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,partly,yes,Keyed,no,yes,not provided,Israel; Palestine,Israel; Palestine,Center of Digital Scholarship and the Office of the Vice President of Research at Brown University,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F3-7,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-500,640,Not specified (Inscribers),Ancient Epigraphy,"A database of inscriptions from the region of Israel/Palestine dating from the Persian period to the Islamic conquest, in multiple languages.",Epigraphy # Religion # History # Archaeology # Linguistics,30.0,20.0
117,Middle Ages,1200-1210,Parzival-Projekt,http://www.parzival.unibe.ch/home.html,yes,yes,yes,GMH,Manuscript,not provided,not provided,Michael Stolz,University of Bern,Literary and linguistic historians,partly,not provided,not provided,yes,no,yes,no,no,partly,not provided,GER; ENG,no,no,no,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,Various,Germany,Swiss National Science Foundation,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0F4-6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1200,1210,Wolfram von Eschenbach,Medieval German Romance,"A comprehensive electronic edition of the medieval Grail romance Parzival, presenting facsimiles and transcriptions of all major manuscripts.",Romance # Mythology # Manuscript # Philology # Poetry,15.0,10.0
118,Middle Ages,1350-1353,Decameron Ipertestuale,http://www.rose.uzh.ch/static/decameron/index3.htm,yes,yes,yes,ITA,not provided,1998,not provided,Michelangelo Picone,University of Zürich,Specialists; university students and staff; high school students,partly,not provided,not provided,no,no,no,not provided,no,no,not provided,ITA,no,yes,no,yes,no,no,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Italy,Fondo Nazionale Svizzero per la Ricerca Scientifica,not provided,CDROM,yes,no,no,not provided,21.11115/0000-000B-D0F5-5,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1350,1353,Giovanni Boccaccio,Medieval Italian Prose,A hypertextual edition of the Decameron focusing on the intertextual and structural relationships within the narrative collection.,Novel # Criticism # Philology # Structure # Literature,12.0,15.0
119,Long Nineteenth Century,1812,Percy Bysshe Shelley: The Devil's Walk,http://www.rc.umd.edu/editions/shelley/devil/index.html,yes,yes,yes,ENG,Manuscript,not provided,1997,Neil Fraistat,University of Maryland,Teachers,partly,not provided,not provided,no,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,not provided,England,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F6-4,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1812,1812,Percy Bysshe Shelley,Romantic Poetry,"An edition of Shelley's broadside ballad ""The Devil's Walk,"" a satire on the British government and social conditions.",Poetry # Satire # Politics # History # Manuscript,10.0,85.0
120,Early Modern,1773,Poems by Anna Laetitia Aikin,http://www.rc.umd.edu/editions/contemps/barbauld/poems1773/,yes,yes,yes,ENG,Manuscript,not provided,2000,Neil Fraistat,University of Maryland,Scholars; students,partly,not provided,not provided,no,no,yes,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,yes,not provided,Bruce Peel Special Collections Library at the University of Alberta,United States,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0F7-3,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1773,1773,Anna Laetitia Barbauld,18th Century Poetry,A digital edition of the 1773 collection of poems that launched the career of the influential writer and dissenter Anna Laetitia Barbauld.,Poetry # Religion # Gender # Criticism # History,8.0,55.0
121,Early Modern; Long Nineteenth Century,1766-1823,The Letters of Robert Bloomfield,http://www.rc.umd.edu/editions/bloomfield_letters/,yes,yes,yes,ENG,Manuscript,not provided,2009,Neil Fraistat,University of Maryland,not provided,partly,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,not provided,England,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0F8-2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1766,1823,Robert Bloomfield,Romantic Poetry,"The collected correspondence of the ""peasant poet"" Robert Bloomfield, shedding light on working-class literary life in the Romantic era.",Correspondence # Poetry # Biography # Sociology # History,25.0,35.0
